ISOTOPE,Bate # B0/B00,Date,col1,col2,col3,average
131I,8405,10/27/1997,78,91,93,87.33
no DMSO,8405,10/27/1997,90,88,90,89.33
,8405,10/27/1997,80,66,69,71.67
,8405,10/27/1997,63,67,71,67.00
,8405,10/27/1997,44,58,64,55.33
,8405,10/27/1997,38,53,51,47.33
,8405,10/27/1997,247,264,258,256.33
,8405,10/27/1997,46,24,27,32.33
,8405,10/27/1997,64,63,61,62.67
,8405,10/27/1997,77,82,98,85.67
131I,8433,11/24/1997,115,98,109,107.33
,8433,11/24/1997,87,95,98,93.33
,8433,11/24/1997,41,31,38,36.67
,8433,11/24/1997,146,155,178,159.67
,8433,11/24/1997,112,105,104,107.00
,8433,11/24/1997,117,143,136,132.00
,8433,11/24/1997,117,133,114,121.33
,8433,11/24/1997,38,57,53,49.33
,8433,11/24/1997,170,171,176,172.33
,8433,11/24/1997,102,108, ,105.00
131I,8445,12/1/1997,74,100,79,84.33
no match,8445,12/1/1997,85,90,70,81.67
,8445,12/1/1997,38,32,44,38.00
,8445,12/1/1997,28,41,26,31.67
,8445,12/1/1997,28,29,27,28.00
,8445,12/1/1997,103,91,123,105.67
,8445,12/1/1997,114,120,103,112.33
,8445,12/1/1997,26,25,24,25.00
,8445,12/1/1997,160,162,170,164.00
,8445,12/1/1997,104,103,100,102.33
131I,8458,12/15/1997,68,55,61,61.33
,8458,12/15/1997,66,61,65,64.00
,8458,12/15/1997,39,36,38,37.67
,8458,12/15/1997,53,50,47,50.00
,8458,12/15/1997,100,96,98,98.00
,8458,12/15/1997,62,68,77,69.00
,8458,12/15/1997,58,58,59,58.33
,8458,12/15/1997,30,35,37,34.00
,8458,12/15/1997,46,48,44,46.00
,8458,12/15/1997,83,95,87,88.33
131I,8468,12/19/1997,68,68,67,67.67
,8468,12/19/1997,57,62,64,61.00
,8468,12/19/1997,40,32,38,36.67
,8468,12/19/1997,50,48,52,50.00
,8468,12/19/1997,112,100,93,101.67
,8468,12/19/1997,53,64,65,60.67
,8468,12/19/1997,58,49,57,54.67
,8468,12/19/1997,27,28,30,28.33
,8468,12/19/1997,40,38,36,38.00
,8468,12/19/1997,82,78,83,81.00
131I,2087,12/22/1997,182,159,169,170.00
,2087,12/22/1997,155,150,168,157.67
,2087,12/22/1997,150,139,145,144.67
,2087,12/22/1997,130,127,122,126.33
,2087,12/22/1997,111,112,122,115.00
,2087,12/22/1997,174,177,150,167.00
,2087,12/22/1997,164,165,168,165.67
,2087,12/22/1997,151,134,130,138.33
,2087,12/22/1997,128,126,123,125.67
131I,2114,2/9/1998,44,37,44,41.67
,2114,2/9/1998,118,107,113,112.67
,2114,2/9/1998,73,91,93,85.67
,2114,2/9/1998,71,78,66,71.67
,2114,2/9/1998,69,71,68,69.33
,2114,2/9/1998,60,61,62,61.00
,2114,2/9/1998,55,45,60,53.33
,2114,2/9/1998,44,54,53,50.33
,2114,2/9/1998,28,25,31,28.00
131I,2074,2/20/1998,40,41,39,40.00
,2074,2/20/1998,55,34,39,42.67
,2074,2/20/1998,25,29,40,31.33
,2074,2/20/1998,95,98,105,99.33
,2074,2/20/1998,80,73,75,76.00
,2074,2/20/1998,75,100,184,119.67
